<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;16/06/17;000000;1.1142700;1.1201800;1.1136400;1.1195300
EURUSD;D;17/06/17;000000;1.1195000;1.1196000;1.1182000;1.1183700
EURUSD;D;18/06/17;000000;1.1194200;1.1212000;1.1194200;1.1204000
EURUSD;D;19/06/17;000000;1.1205400;1.1212900;1.1142000;1.1147600
EURUSD;D;20/06/17;000000;1.1148500;1.1165000;1.1116800;1.1133600
EURUSD;D;21/06/17;000000;1.1132800;1.1169000;1.1125900;1.1167700
EURUSD;D;22/06/17;000000;1.1167700;1.1180000;1.1137600;1.1150700
EURUSD;D;23/06/17;000000;1.1151400;1.1210000;1.1143000;1.1193400
EURUSD;D;24/06/17;000000;1.1192000;1.1192000;1.1183000;1.1183000
EURUSD;D;25/06/17;000000;1.1199000;1.1200800;1.1192000;1.1196300
EURUSD;D;26/06/17;000000;1.1196200;1.1220000;1.1170000;1.1180100
EURUSD;D;27/06/17;000000;1.1181600;1.1349500;1.1177000;1.1338200
EURUSD;D;28/06/17;000000;1.1338200;1.1391000;1.1290800;1.1376500
EURUSD;D;29/06/17;000000;1.1376900;1.1445600;1.1372000;1.1440000
EURUSD;D;30/06/17;000000;1.1440000;1.1445400;1.1390200;1.1425000
EURUSD;D;01/07/17;000000;1.1425300;1.1432000;1.1423000;1.1427000
EURUSD;D;02/07/17;000000;1.1418000;1.1422800;1.1410300;1.1415000
EURUSD;D;03/07/17;000000;1.1418600;1.1426700;1.1353200;1.1363400
EURUSD;D;04/07/17;000000;1.1363100;1.1377100;1.1334400;1.1345000
EURUSD;D;05/07/17;000000;1.1344000;1.1370000;1.1311000;1.1350700
EURUSD;D;06/07/17;000000;1.1350700;1.1425000;1.1327900;1.1421700
EURUSD;D;07/07/17;000000;1.1421200;1.1440000;1.1378200;1.1399600
EURUSD;D;08/07/17;000000;1.1400000;1.1401000;1.1398000;1.1398000
EURUSD;D;09/07/17;000000;1.1390000;1.1399300;1.1388000;1.1395600
EURUSD;D;10/07/17;000000;1.1398800;1.1420000;1.1380000;1.1398600
EURUSD;D;11/07/17;000000;1.1398200;1.1479700;1.1380800;1.1467400
EURUSD;D;12/07/17;000000;1.1465400;1.1489600;1.1390800;1.1411000
EURUSD;D;13/07/17;000000;1.1411100;1.1455900;1.1369000;1.1396400
EURUSD;D;14/07/17;000000;1.1396900;1.1471900;1.1390000;1.1468600
EURUSD;D;15/07/17;000000;1.1467400;1.1472000;1.1461000;1.1461300
EURUSD;D;16/07/17;000000;1.1462000;1.1474000;1.1458900;1.1472300
EURUSD;D;17/07/17;000000;1.1473100;1.1490000;1.1433000;1.1477500
EURUSD;D;18/07/17;000000;1.1477200;1.1583400;1.1469400;1.1552600
EURUSD;D;19/07/17;000000;1.1553100;1.1556300;1.1509000;1.1513600
EURUSD;D;20/07/17;000000;1.1514600;1.1658200;1.1477600;1.1628800
EURUSD;D;21/07/17;000000;1.1628200;1.1683000;1.1617000;1.1660000
EURUSD;D;22/07/17;000000;1.1659000;1.1661000;1.1658000;1.1659000
EURUSD;D;23/07/17;000000;1.1658000;1.1668000;1.1657000;1.1664000
EURUSD;D;24/07/17;000000;1.1662000;1.1684300;1.1625000;1.1640300
EURUSD;D;25/07/17;000000;1.1640000;1.1712200;1.1629000;1.1646000
EURUSD;D;26/07/17;000000;1.1645600;1.1740100;1.1612000;1.1732000
EURUSD;D;27/07/17;000000;1.1732600;1.1776800;1.1648600;1.1674500
EURUSD;D;28/07/17;000000;1.1676000;1.1764200;1.1670000;1.1747800
EURUSD;D;29/07/17;000000;1.1751000;1.1751000;1.1751000;1.1751000
EURUSD;D;30/07/17;000000;1.1735000;1.1752000;1.1733000;1.1745600
EURUSD;D;31/07/17;000000;1.1750000;1.1845700;1.1721300;1.1841000
EURUSD;D;01/08/17;000000;1.1840800;1.1844700;1.1784300;1.1800900
EURUSD;D;02/08/17;000000;1.1800800;1.1910300;1.1792000;1.1855400
EURUSD;D;03/08/17;000000;1.1855000;1.1893100;1.1828600;1.1868900
EURUSD;D;04/08/17;000000;1.1867300;1.1890000;1.1727400;1.1770600
EURUSD;D;05/08/17;000000;1.1769000;1.1777000;1.1769000;1.1772000
EURUSD;D;06/08/17;000000;1.1766000;1.1779000;1.1764300;1.1771000
EURUSD;D;07/08/17;000000;1.1771800;1.1814300;1.1768700;1.1794300
EURUSD;D;08/08/17;000000;1.1794300;1.1824000;1.1714000;1.1750900
EURUSD;D;09/08/17;000000;1.1750900;1.1764000;1.1687800;1.1758600
EURUSD;D;10/08/17;000000;1.1758200;1.1785500;1.1702400;1.1771400
EURUSD;D;11/08/17;000000;1.1770300;1.1847200;1.1746900;1.1819800
